id,category,question
1,People,"Describe a person who always has strong opinions. Who this person is, How you knew him/her, Why you think he/she is an opinionated person, And explain how you feel about him/her"
2,People,"Describe a person who has chosen a career in the medical field (e.g. a doctor, a nurse). Who he/she is, What he/she does, Why he/she chose this career, And explain how you feel about him/her"
3,People,"Describe a person who likes to read a lot. Who this person is, How you knew him/her, What he/she likes to read, And explain why you think he/she likes to read a lot"
4,People,"Describe a person who likes to make things by hand (e.g. toys, furniture). Who this person is, What he/she makes, Why he/she likes to make things by hand, And explain how you feel about the person"
5,People,"Describe a person from whom others like to ask for advice. Who this person is, Why people like to ask for his/her advice, What kind of advice he/she often gives, And explain how you felt about the person"
6,People,"Describe a person who encouraged you to achieve your goal. Who the person is, How he/she encouraged you, What goal you achieved, And explain how you feel about this person"
7,People,"Describe a person who likes to buy goods at low prices. Who this person is, What this person likes to buy, Where this person likes to buy, And explain why this person likes cheap goods"
8,People,"Describe a person you really enjoy studying/working with. Who this person is, When you often study/work together, What you study/work together, And explain why you enjoy studying/working with him/her"
9,People,"Describe someone (a famous person) who is a role model for young people. Who he/she is, How you knew him/her, What he/she has done, And explain why he/she can be a role model for young people"
10,People,"Describe an interesting old person you have met. Who this person is, When/where you met this person, What you did, And explain why you think this old person is interesting"
11,People,"Describe a person who you are happy to know. Who this person is, How you know this person, What he or she is like, And explain why you are happy to know this person"
12,People,"Describe a film character played by your favourite actor. Who this actor is, When you saw the film, What the character was like in this film, And explain why you admire this actor"
13,People,"Describe a child that you know. Who this child is, How often you see this child, What this child is like,And explain how you feel about this child"
14,People,"Describe a person you met at a party who you enjoyed talking with. Who this party it was, How you met this person, What you talked about, And explain why you enjoyed talking with him/her"
15,People,"Describe a person who thinks music is important and enjoys music. Who this person is, How you knew him/her, What music he/she likes, And explain how you feel about this person"
16,People,"Describe a person you know who is talented. Who this person is, How and where you knew this person, Why you think he/she is talented, And explain how you found out that he/she is talented"
17,People,"Describe someone you know who made a good decision recently. Who he/she is, When he/she made the decision, What decision he/she made, And explain how you felt about the decision"
18,Object ,"Describe an online video where you learned something new. When and where you watched it, What it was, Why you watched it, And explain what you learn from it"
19,Object ,"Describe a kind of food people eat during the special event. What the food is, What event people usually eat it, How it is cooked, And explain why it is for the special event"
20,Object ,"Describe a movie you watched recently. When and where you watched it, Who you watched it with, What it was about, And explain why you chose to watch this movie"
21,Object ,"Describe a photo that is special to you. When and where it was taken, Who are in the photo, Why it is special to you, And explain whether you will keep it for a long time"
22,Object ,"Describe the most expensive item you have ever bought.When and where you bought it,What it was,What you used it for,And explain how you liked it"
23,Object ,"Describe a piece of technology you own that you feel difficult to use. What it is, When you got it, How often you use it, And explain how you feel about it"
24,Object ,"Describe something you own that you want to replace. What it is, Where it is, How you got it, And explain why you want to replace it"
25,Object ,"Describe a picture/photograph of you that you like. Where it was taken/drawn, When it was taken/drawn, Who took/drew it, And explain how you felt about it"
26,Object ,"Describe an important plant in your country. What it is, Where you see it, What it looks like, And explain why it is important"
27,Object ,"Describe an advertisement you don?¡¥t like. What it is about, Where you saw it, What it was like, And explain why you do not like this advertisement"
28,Object ,"Describe a website you often visit. What it is about, How you found it, How often you visit it, And explain why you often visit it"
29,Object ,"Describe a kind of car you would like to buy in the future. What it is like, Where you can buy it, How you can buy it, And explain why you would like to buy it"
30,Object ,"Describe a kind of foreign food you have had. When you had it, Where you had it, What kind of food it was, And explain how you felt about it"
31,Object ,"Describe a good service you received. What the service was, When you received it, Who you were with, And explain how you felt about it"
32,Object ,"Describe a new law you would like to introduce in your country. What law it is, What changes this law brings, Whether this new law will be popular, And explain how you feel about this"
33,Object ,"Describe a subject that you would like to learn in the future. What it is, Where and how you want to learn it, Why you want to learn it, And explain if it will be difficult to learn it"
34,Object ,"Describe something you would like to learn in the future. What it is, How you would like to learn it, Why you would like to learn it, And explain whether it's difficult to learn it"
35,Object ,"Describe your favourite climate. What kind of climate it is, Where the climate occur, How hot or cold the climate is, And explain why you like this type of climate"
36,Place,"Describe a cultural place (e.g. library, museum, theatre). Where it is, How you knew this place, What it is like, And explain how the place is related to culture"
37,Place,"Describe an ideal and perfect place where you would like to stay, (e.g. a house or an apartment). Where it would be, What it would look like, What special features it would have, And explain why it would be an ideal place for you"
38,Place,"Describe a crowded place you went to. When you went there, Who you went there with, Why you went there, And how you felt about it"
39,Place,"Describe a place in your hometown/city that is different from other places and you should like to visit with your parents/friends. Where it is, Why you think it is different, Who you would like to go with, And explain whether you have been there"
40,Place,"Describe a room you really like in another person's home. Where it is, What it is like, What can you do in it, And explain why you really like it"
41,Place,"Describe a place you have been to where you can see wild animals. Where the place is, When you went there, What animals you saw there, And explain how you felt about this place"
42,Place,"Describe a park or a garden in your city. Where it is, When you often go there, What you often do there, And explain what it is like"
43,Place,"Describe a place (city/town) that is good for people to live in. Where it is, How you knew this place, What it is like, And explain why it is better than other places to live in"
44,Place,"Describe a place where you have taken photos more than once. Where the place is, When you took the photos, What special features the photos taken there have, And explain why you have been there more than once"
45,Place,"Describe a place you have been to where things are expensive. Where the place is, What the place is like, Why you went there, And explain why you think things are expensive there"
46,Place,"Describe a tourist attraction that very few people visit but you think is interesting. What the place is, What people can see there, Why only very few people visit there, And explain why you think it is interesting"
47,Place,"Describe a natural place (e.g. parks, mountains). Where this place is, How you knew this place, What it is like, And explain why you like to visit it"
48,Place,"Describe an interesting place you have been to with a friend. What and where the place is, Who you went with, When you went there, And explain why you think it is interesting"
49,Place,"Describe a small store where you often buy things. Where it is, When you usually go there to buy things, What you often buy there, And explain how you feel about it"
50,Place,"Describe a noisy place you have been to. What it is, When you went there, What you did there, And explain why you feel it's a noisy place"
51,Place,"Describe an indoor or outdoor place where it is easy for you to study. Where it is, What it is like, When you go there, And explain why you would like to study in this place"
52,Place,"Describe your favorite place in your house where you can relax. Where it is, What it is like, What you enjoy doing there, And explain why you feel relaxed at this place"
53,Place,"Describe a historical building you have been to. Where it is, What it looks like, What it is used for now, And how you felt about this historical building"
54,Place,"Describe a place you visited where the air was polluted. Where the place is, When you visited there, Why the air was polluted, And explain how you felt about the place"
55,Place,"Describe a city you would like to stay in for a short time. Where it is, Who you will go there with, What you will do in the city, And explain why you stay there just for a short time"
56,Event,"Describe a time you received a call from someone you didn?¡¥t know. When it was, Where you were when you received it, What the call was about, And explain how you felt after you received this call"
57,Event,"Describe a time you got into contact with an old friend. Who he or she is, When and where you met, What you talked about, And explain how you felt about this experience"
58,Event,"Describe something that made you confident at your work or study. What it was, When and where it happened, What you did, And explain how you felt about it"
59,Event,"Describe a time when a family member asked you for help. When it was, Who asked you for help, How you helped him or her, And explain how you felt about this experience"
60,Event,"Describe a time when you lost a valuable item. When and where it happened, How much the item is, How you lost it, And explain how you felt about the experience"
61,Event,"Describe a time when you won a prize. When it happened, What prize it was, Why you wanted to win that prize, And explain how you felt about the experience"
62,Event,"Describe a difficult challenge you came across at one time in your life. What it was, When you came across this challenge, What you did about i, And explain why you think it was a diffcult challenge"
63,Event,"Describe something that you did with someone/a group of people. What it was, Where you did it, Who you were with, And explain how you felt about this"
